lambda_penalty,omega_n,zeta,n_rollouts,discounted_task_return_mean,discounted_task_return_std,discounted_train_return_mean,discounted_train_return_std,discounted_theta_variation_mean,discounted_theta_variation_std,theta_variation_sum_mean,theta_variation_sum_std,success_rate,final_distance_mean,final_distance_std,mean_abs_theta_tracking_error_mean,mean_abs_theta_tracking_error_std,mean_motor_pair_clip_abs_sum_mean,mean_motor_pair_clip_abs_sum_std,model_dir
4.0,4.0,1.0,333,338.59831071347236,66.24733403004791,331.4480130075773,66.20854550158988,1.7875744264737579,0.047159826839733535,8.535195362903792,0.0853557667713501,1.0,0.13829135881015306,0.011805175822834912,0.17461313975744097,0.0018428157666256501,0.0,0.0,C:\Users\rabiei\My Research\safe-control-gym\models\F3731\reduced_lambda_4_lambda_sweep_lam_4p0_20260523_002608
4.0,6.0,1.0,333,474.2229438936574,63.17283752942106,467.0041602803898,63.1462663728506,1.8046959033168932,0.04632665745434994,9.019897393159223,0.09974093022757705,1.0,0.12514449279914674,0.010714291415065866,0.14343704805575,0.001925613587716426,0.0,0.0,C:\Users\rabiei\My Research\safe-control-gym\models\F3731\reduced_lambda_4_lambda_sweep_lam_4p0_20260523_002608
4.0,8.0,1.0,333,510.19958342733685,46.82297527734552,503.13194974218095,46.80121282549063,1.7669084212889639,0.04552567516417487,8.95642922267768,0.12716208387695677,1.0,0.10404587506436276,0.006514817326405125,0.11818395155291464,0.0017674462932823452,0.0,0.0,C:\Users\rabiei\My Research\safe-control-gym\models\F3731\reduced_lambda_4_lambda_sweep_lam_4p0_20260523_002608
4.0,10.0,1.0,333,527.181073324068,40.523732126933076,520.367296112661,40.524143066529696,1.7034443028517714,0.046247574198921344,8.524358106097807,0.09346975160166832,1.0,0.08575155547761418,0.005776759960081394,0.09640441164506937,0.0013102583733516548,0.0,0.0,C:\Users\rabiei\My Research\safe-control-gym\models\F3731\reduced_lambda_4_lambda_sweep_lam_4p0_20260523_002608
4.0,12.0,1.0,333,536.8120226371761,38.378062805395075,530.3551259099142,38.39171471544968,1.6142241818154441,0.04609003246634679,7.795203241551552,0.10191428278643333,1.0,0.06645361076543303,0.0030866386136992304,0.07708007218062993,0.001200501552665047,0.0,0.0,C:\Users\rabiei\My Research\safe-control-gym\models\F3731\reduced_lambda_4_lambda_sweep_lam_4p0_20260523_002608
6.0,4.0,1.0,333,464.4326832844712,35.339395018017356,456.46158272804735,35.21300950841789,1.3285167594039746,0.03871796312475328,6.033183320587663,0.09748131791447115,1.0,0.04362579172068558,0.0402953966441185,0.12558371709475577,0.0014799304220375494,0.0,0.0,C:\Users\rabiei\My Research\safe-control-gym\models\F3731\reduced_lambda_6_lambda_sweep_lam_6p0_20260523_004047
6.0,6.0,1.0,333,487.0253036577512,35.94489237365345,479.5829903368488,35.86749162124287,1.2403855534837351,0.03351392802014059,5.283966924075049,0.06085861369381612,1.0,0.07934371976306989,0.02483151480727031,0.08394296257313988,0.0009990794196270752,0.0,0.0,C:\Users\rabiei\My Research\safe-control-gym\models\F3731\reduced_lambda_6_lambda_sweep_lam_6p0_20260523_004047
6.0,8.0,1.0,333,500.09705724638775,36.06684706778445,493.5239420105529,36.0554112907496,1.0955192059724643,0.032011760614477254,3.8185849626318324,0.04371350201797525,1.0,0.06925712098196177,0.009340077807837514,0.04934598144537706,0.0005222959664472463,0.0,0.0,C:\Users\rabiei\My Research\safe-control-gym\models\F3731\reduced_lambda_6_lambda_sweep_lam_6p0_20260523_004047
6.0,10.0,1.0,333,509.1967761079419,36.208543385108456,503.4705780239859,36.256889693247224,0.9543663473260093,0.03364535213994853,2.3243208028005835,0.06072684371656447,1.0,0.06330010759609184,0.0011786484229466244,0.024742885047932227,0.0005341092860773316,0.0,0.0,C:\Users\rabiei\My Research\safe-control-gym\models\F3731\reduced_lambda_6_lambda_sweep_lam_6p0_20260523_004047
6.0,12.0,1.0,333,515.5462769002432,36.05969514151502,510.27115128870025,36.1350492624073,0.8791876019238433,0.035681243473460134,1.706247685433083,0.06577042393906493,1.0,0.06389293327450304,8.202761033079267e-05,0.014892654052600962,0.0004937187722093164,0.0,0.0,C:\Users\rabiei\My Research\safe-control-gym\models\F3731\reduced_lambda_6_lambda_sweep_lam_6p0_20260523_004047
